经验,包裹负重,装备负重,腕力,HP,MP,攻击下限,攻击上限,魔法下限,魔法上限,道术下限,道术上限,防御下限,防御上限,魔防下限,魔防上限,命中,躲避,魔法命中,魔法躲避,暴击,活力,速度？查,hp恢复,mp恢复,打坐经验
3600000,281,27,25,152,671,3,4,3,4,0,0,0,0,0,0,5,7,10,1,0,24,15,3,38,30000
4000000,295,27,26,159,706,4,5,9,10,0,0,0,0,0,0,5,7,10,1,0,25,15,3,40,30000
4800000,309,28,26,165,742,4,5,9,10,0,0,0,0,0,0,5,7,10,1,0,26,15,3,42,35000
5600000,324,29,27,172,778,4,5,9,10,0,0,0,0,0,0,5,7,10,1,0,27,15,3,44,35000
8200000,339,29,28,179,816,4,5,9,10,0,0,0,0,0,0,5,7,10,1,0,28,15,3,46,35000
9000000,354,30,29,186,854,4,5,9,10,0,0,0,0,0,0,5,7,10,1,0,29,15,3,48,35000
12000000,370,31,30,193,893,5,6,10,11,0,0,0,0,0,0,5,7,10,1,0,30,15,3,50,35000
16000000,386,32,31,200,933,5,6,10,11,0,0,0,0,0,0,5,7,10,1,0,30,15,3,52,35000
30000000,403,33,32,207,974,5,6,10,11,0,0,0,0,0,0,5,7,10,1,0,30,15,3,55,35000
50000000,420,33,33,215,1016,5,6,10,11,0,0,0,0,0,0,5,7,10,1,0,30,15,3,57,40000
80000000,437,34,34,222,1058,5,6,10,11,0,0,0,0,0,0,5,7,10,1,0,30,15,4,59,40000
120000000,455,35,34,230,1102,5,6,10,11,0,0,0,0,0,0,5,7,10,1,0,30,15,4,62,40000
480000000,473,36,36,238,1146,5,6,10,11,0,0,0,0,0,0,5,7,10,1,0,30,15,4,64,40000
520000000,492,37,37,246,1192,5,6,10,11,0,0,0,0,0,0,5,7,10,1,0,30,15,4,67,40000
560000000,511,38,38,254,1238,5,6,10,11,0,0,0,0,0,0,5,7,10,1,0,30,15,4,69,40000
580000000,530,39,39,262,1285,6,7,11,12,0,0,0,0,0,0,5,7,10,1,0,30,15,4,72,40000
580000000,550,40,40,271,1333,6,7,11,12,0,0,0,0,0,0,5,7,10,1,0,30,15,4,75,45000
580000000,570,41,41,280,1382,6,7,11,12,0,0,0,0,0,0,5,7,10,1,0,30,15,5,78,45000
580000000,591,41,42,288,1432,6,7,11,12,0,0,0,0,0,0,5,7,10,1,0,30,15,5,80,45000
580000000,612,42,44,297,1482,6,7,11,12,0,0,0,0,0,0,5,7,10,1,0,30,15,5,83,45000
580000000,633,43,45,306,1534,6,7,11,12,0,0,0,0,0,0,5,7,10,1,0,30,15,5,86,45000
580000000,655,44,46,315,1586,6,7,11,12,0,0,0,0,0,0,5,7,10,1,0,30,15,5,89,45000
580000000,677,45,47,324,1639,7,8,12,13,0,0,0,0,0,0,5,7,10,1,0,30,15,5,92,50000
580000000,700,46,49,333,1693,7,8,12,13,0,0,0,0,0,0,5,7,10,1,0,30,15,6,95,50000
580000000,723,47,50,342,1748,7,8,12,13,0,0,0,0,0,0,5,7,10,1,0,30,15,6,98,50000
580000000,747,48,51,352,1804,7,8,12,13,0,0,0,0,0,0,5,7,10,1,0,30,15,6,101,50000
2000000000,771,48,52,361,1860,7,8,12,13,0,0,0,0,0,0,5,7,10,1,0,30,15,6,104,50000
